A'Beckett St - Tunnel,MON to SAT,A'Beckett St Melbourne,"Bags Of Shirts, Pants & Overalls",Deliver To Change Rooms,,Price Rise,%
Altona Police Station,WED,"1 Galvin St, Altona ",Pick Up/ Deliver - Cell blankets,9392 3111,,,
ARA,,"Level 4, 289 Wallington Parade South, East Melb",,,,,
Atlantic Group ,MON on call,"43 Agosta Drive, Laverton North ",On Call,NIKHIL NISCHAL 0430 308 454,,,
ATL MELBOURNE CONNECT,ON CALL,"700 SWANSTON ST, CARLTON",,TIM KOCHITZKE 0400 1310382,,,
Aware Health,MON WED FRI,1/22 Mason St Newport,Pick Up And Drop Off Bags Of Towels,,,7/12/2023,10%
Black Sheep,FRI,"25B Vernon St, South Kingsville",50 Tea Towels And 40 Microfibre Blue,On Invoice,,,
Butchers Yarraville,MON THURS,44 Simpson St Yarraville,Bag Of Aprons,,,,
Concept Engineering ,MON on call,1/32 Westside Drive Laverton North,Pick Up Drop Off Overalls,On Call,,,
Cupcake Queen,THURS fortnightly,17 Hall St Yarraville,50 Tea Towels,,,,
Curtis Stone Events,MON WED,Australian Unity Building - Enter Via Little Latrobe,,Nick - 0419683671,,,
Daffy Contracting,MON,89 A  Strzelecki Ave Sunshine West ,Bags Of Overalls,,,,
Federal/Family Court,TUE FRI,Cnr Alsop Lane And Lt Lonsdale Street,"Drop Off & Pick Up Towels, Tea Towels, Table Cloths, Robes, Shirts, Pants, Jackets, Ties, Scarves","Entrance Via Lt Lonsdale, Can Drive Directly Into The Guard House For Easy Collection ",,,
Federation Square,MON WED FRI SAT,"Swanston St & Flinders St, Melbourne","Bags Of Shirts, Pants & Overalls - Take Wheely Bin",Deliver To Clean Side Change Rooms,,,
Food And Desire,TUE THURS,"114 Munro St, South Melbourne Vic 3205",Hanging Garments / Bag Aprons,,,,
G.T Recycling,WED,"100 Point Henry Rd, Moolap ",Soft plastic drop off,,,,
Goodyear Werribee (Monthly),,"11 Bridge St, Werribee","1 X Medium Mats, 10 X Roll Towel",First Friday Of Month (Take invoice from Shane or Sunil before leaving),,,
Grand Chancellor,MON to SAT,"131 Lonsdale St, Melbourne VIC 3000",Hanging Orders,Drop Off Pick Up From Cupboard,,,
Gratia Beauty,TUE FRI,Shop 100 /179 Little Bourke Street Melbourne CBD,Bag Of Towels,Pick up/Drop off,,,
Greek Church,MON THURS,"Millers Rd, Altona",Pickup Only of Table Cloths,Ayman - 0410 260 716,,,
Grill Americano,MON to SAT,Entry via Flinders Lane(101 Collins St loading dock),NAPKINS. Hanging staff uniforms. Drop off/pick up,STAFF ROOM CODE C30XY,,,
Hagen South Melbourne,FRI,South Melbourne Market York Street,Hanging / Bag Of Aprons,Pick Up Also,,,
Hagen's Bentleigh,TUE,"35 Patterson Rd, Bentleigh Vic 3204",Aprons And Hanging Garments,Pick Up Also,,,
Hagen's Marketplace,THURS,Victoria Market,,,,,
Hagen's Prahran,THURS,Prahran Market,Hanging Coates/ Bag Of Aprons,,,,
Hilton Hotel,MON to SAT,18 Little Queen Lane,Hang Staff Uniforms,Collapsible Trolly And Small Laundry Bags,,,
IGA Supermarket - Grovedale,WED,17/79 Heyers Rd Grovedale,"3 Small, 1 Medium, 2 Long Mats",,,,
IGA Supermarket - Grovedale East,WED,142-146 Marshalltown Rd Grovedale East,"2 Small Mat, 1 Medium Mat, 1 Long Mat",,,,
IKON HYGIENE SERVICES,,"47 BARETTA RD, RAVENHALL",TAKE TRUCK AND TROLLEY,LILY KURTI  0408 366 798,,,
JOHN HOLLAND WEST,TUE  THUR ,"20-40 BOOKER ST, SPOTSWOOD",PICKUP/DROP OFF UNIFORMS IN BAGS  WEST=YELLOW ,GATE CODE 2580#  CLAIRE 0412405706,,,
JOHN HOLLAND EAST,"TUE, THURS","97 KOORINGAL WAY, PORT MELB",BLUE BAGS,CLAIRE 0412405706,,,
Kempe,WED,"52-60 Moon St, Moolap","Bags Of Overalls, 5 X Small Mats, 3 X Long Mats, 12 X Roll Towel",,,,
Kempe - Incitic Pivot,WED,"40 Sea Breeze Parade, North Shore Vic",Wheelie Bin - Overalls,Contact David H - 0490 736 298 for access 5 mins before,,,
Little Ginger (On Call),customer drops off,4/10 Akuna Dr Williamstown North,"Table Cloths, Hand Towels",Nikki - 0416096414,,,
Mamma Roti,MON,"1/2 Infinity Dve, Truganina",As per order (Take his phone #),Dee 0415727560,,,
Master Dry Cleaners - Albert Park ,,35 Victoria Ave Albert Park,Store Orders - Pickup And Drop Offs ,,,,
Melbourne Airport Smartcarte,TUE  FRI,,Drop off/Pick up,,,,
Melbourne Museum,MON WED FRI,"11 Nicholson St, Carlton",Hanging tshirts and bagged blue aprons. Enter via loading bay,Soni 0430 882 488,,,
Miss Pearl,TUE THURS,"140 Southbank Blvd, Southbank.",Hanging garments.            Back door D onto Level 1. Sliding door at top of stairs.,,,,
Morning Star Hotel,THURS,"3 Electra St, Williamstown","50 Tea Towels, 40 white polish cloths (Table Cloths 135X135 - Rolling Stock Of 50)",,,,
My Mama Said,TUE  THURS  SAT,"67 Austin St, Seddon",Pick up drop off,,,,
Nhu Lan Bakery,MON,"116 Hopkins St, Footscray",Bag Of Aprons,Pick Up/Drop Off,,,
North Melb. Police Station (On Call),TUE THURS,36 Wreckyn St North Melbourne,Pick Up /Drop Off Cell Blankets,,,,
Novotel On Collins,MON to SAT,Dame Edna Place,Pick Up/Drop Off,Call 96675800  - Check if they need a pickup,,,
Oakwood,MON WED FRI,,Hanging staff uniforms. Drop off/pick up. LEVEL 2. ,Guest pick ups on call. From Reception.,,,
