 THURSDAY 10.30AM START,,,,
Visit Name,Address,Notes,Notes 2,
,,,,
,,,,
WESTERN IMAGING FOR WOMEN,Level 2 suite 16/1 Thomas Holmes St Maribyrning,PICK UP/DROP OFF BAGS OF TOWELS,LEVEL 2,
Butchers Yarraville,44 Simpson St Yarraville,"Hanging Chefs Jackets and a Bag Of Aprons, 25 TT",DIRTY STUFF DOWN NEAR WASHERS,
JOHN HOLLAND EAST BLUE,"97 KOORINGAL WAY, PORT MELBOURNE","PICK UP/DROP OFF UNIFORMS IN BAGS, LEAVE EXTRA BAGS",GATE CODE 2580#  CLAIRE 0412405706(PEGGY),
ALBERT PARK STORE ,35 VICTORIA AVE,PICK UP/DROP OFF ,,
Willy Butcher,3 Becroft Mews Williamstown,Bag Of Aprons/ 25 tea towels,Must Wear A Hat,
Seaview Events,71 Morris St Williamstown (Enter Battery Rd Gate),Pick Up and Drop Off Table Linen,FLAMUR 0449 765 518... Krista 0423 508 770 (Events Manager),
Cupcake Queen,"UNIT 2/49 MCARTHURS RD, ALTONA NORTH",100 TEATOWELS,FORTNIGHTLY,
RENT MY DRESS,196B BLACKSHAWS RD,DRESS PICK UP/DROP OFF,DIRTY STUFF IN FRONT SHOP,
AYMAN Greek Church,"MILLERS RD, ALTONA NTH",Pick Up and Drop Off Linen GET KEY OFF HOOK,AYMAN 0410260716,
BUTLER STORE 2.30,180 CAMBERWELL RD,DROP OFF/PICK UP, CHECK FURNISHING CAGE,
ALBERT PARK STORE 4.30,35 VICTORIA AVE,DROP OFF/PICK UP,CHECK FURNISHING CAGE,
,,,,
